data__locator_id,data__facility_name,data__city,data__state,data__tie_facility,data__artcc_id
09PA,EAGLE FLD ARPT,PORT MATILDA,PENNSYLVANIA,AOO,ZNY
09R,TYLER COUNTY ARPT,WOODVILLE,TEXAS,CXO,ZHU
09S,SULLIVAN LAKE STATE ARPT,METALINE FALLS,WASHINGTON,SEA,ZSE
09T,LAZY G BAR RANCH ARPT,DECATUR,TEXAS,FTW,ZFW
09TA,XWIND FARM ARPT,RAVENNA,TEXAS,FTW,ZFW
09TE,RUNNING M RANCH ARPT,GLEN ROSE,TEXAS,FTW,ZFW
09TN,UNIV OF TENNESSEE MEDICAL CENTER HELIPORT,KNOXVILLE,TENNESSEE,BNA,ZTL
09TS,PITCOCK ROSILLOS MOUNTAIN RANCH ARPT,MARATHON,TEXAS,SJT,ZAB
09TX,SMOKEY MTN RANCH ARPT,SHEFFIELD,TEXAS,SJT,ZHU
09VA,ALUM RIDGE ARPT,FLOYD,VIRGINIA,DCA,ZDC
09VG,AUGUSTA MEDICAL CENTER HELIPORT,FISHERSVILLE,VIRGINIA,DCA,ZDC
09W,SOUTH CAPITOL STREET HELIPORT,WASHINGTON,DIST. OF COLUMBIA,DCA,ZDC
09WA,HOLY FAMILY HOSPITAL HELIPORT,SPOKANE,WASHINGTON,SEA,ZSE
09WI,PARKWAY FARM STRIP ARPT,HOLMEN,WISCONSIN,GRB,ZMP
09XA,BRAUNIG EHLF HELIPORT,ELMENDORF,TEXAS,SJT,ZHU
09XS,BAPTIST MEDICAL CENTER HELIPORT,SAN ANTONIO,TEXAS,SJT,ZHU
09Y,WIPLINE SPB,INVER GROVE HGTS,MINNESOTA,PNM,ZMP
09Z,GEOREF PT.,"MAKAHUENA POINT,KAUAI",HAWAII,null,null
0A0,"AWOS-3PT ASSOCIATED WITH SPACEPORT AMERICA ARPT, 9NM9.",TRUTH OR CONSEQUENCES,NEW MEXICO,null,null
0A3,SMITHVILLE MUNI ARPT,SMITHVILLE,TENNESSEE,BNA,ZME
0A4,JOHNSON CITY ARPT,JOHNSON CITY,TENNESSEE,BNA,ZTL
0A6,ARPT,BAXTER SPRINGS,KANSAS,null,null
0A7,HENDERSONVILLE ARPT,HENDERSONVILLE,NORTH CAROLINA,RDU,ZTL
0A8,BIBB COUNTY ARPT,CENTREVILLE,ALABAMA,ANB,ZTL
0A9,ELIZABETHTON MUNI ARPT,ELIZABETHTON,TENNESSEE,BNA,ZTL
0AA1,YAKATAGA ARPT,YAKATAGA,ALASKA,JNU,ZAN
0AA2,ARPT,KENAI,US,null,null
